ITEM,UOM,ALT UOM,Conversion,Vatable,Prices
1.5Litre Palm Oil (6X),ctn,btt,6,Yes,27759.69
1kg Mazara Oat Swallow (12x),pck,Scht,12,No,42887.75
2.5kg Mazara Oat Swallow (10x),pck,Scht,30,No,93206.72
3kg Yellow Garri (4x),ctn,bg,4,Yes,22325.58
AGS- Jadens Fruitamil (12x),ctn,pcs,120,No,59943.85
AGS- Jadens Fussy-Pops (12x),ctn,pcs,10,No,59990.09
AGS- Jadens Mixagrain (12x),ctn,pcs,4,No,59917.97
AGS- Jadens Nuttymeal (12x),ctn,pcs,12,No,59880.97
AMB- 100ml Carrot Oil (12x),ctn,unt,12,No,33600
AMB- 100ml Coconut Oil (12x),ctn,unt,12,No,30000
Atun Pepper Soup Spice,ctn,btt,10,Yes,33488.37
BNN- 250ml Biniowan Cold Pressed Coconut Oil (24x),ctn,unt,12,No,117600
BNN- 250ml Biniowan Hot Pressed Coconut Oil (24X),ctn,unt,12,No,83085.71
BNN- 280g Biniowan Carrot Shea Butter (24X),ctn,unt,12,No,76200
BNN- 280g Biniowan Coconut Shea Butter (24X),ctn,unt,24,No,75428.57
BNN- 400g Biniowan Solid Black Soap (24x),ctn,unt,12,No,65113.04
BNN- 500ml Biniowan Body Wash Black Soap (24X),ctn,unt,30,No,79147.83
BQ- PC 300g Sweet Potato Chips (24x),ctn,unt,12,Yes,78892.37
BQ- PLC 300g UnRipe Plantain Chips (30x),ctn,unt,12,Yes,115259.43
BQ- RPLC 300g Ripe Plantain Chips (30x),ctn,unt,12,Yes,120324.69
CEV- 500ml Cevo Banana Yoghurt (12x),ctn,unt,30,No,32611.3
CEV-500ml Cevo Plain Yoghurt (12x),ctn,btt,48,No,30000
CEV-500ml Cevo Strawberry Yoghurt (12x),ctn,btt,48,No,30000
CEV-500ml Cevo Tigernut Drink (12x),ctn,btt,48,No,24000
CEV-500ml Cevo Zobo Drink (12x),ctn,btt,52,No,12000
CS- 100g Cressolife Sweetened Cashew Nuts (24x),ctn,unt,78,No,58200
CS- 1Ltrs Cressolife Palm Oil (12x),ctn,unt,48,No,41200
DSL- 100g Uregi Curry Powder (12x),ctn,unt,30,No,18000
DSL- 100g Uregi Garlic Powder (12x),ctn,unt,30,No,32000
DSL- 100g Uregi Ginger & Garlic Mix Powder (12x),ctn,unt,30,No,42000
DSL- 140g Uregi Yaji (Suya Pepper) Powder (12x),ctn,unt,30,No,21600
ELH- 250g Dates powder (6x),pck,btt,6,No,12000
ELH- 80g Kuli Kuli (12x),ctn,unt,78,No,7158.62
ETF- 50g Dried Mushrooms (24x),ctn,unt,48,No,43200
JKB- 900G Plaintain Flour (10x),ctn,pcs,12,No,24000
"KTC- Bestie's Sponge Soft,hard,soft-hard (6x)",pck,unt,24,No,31200
KZ- 1Ltrs Bugo Sweetened Greek Yoghurt (6x),ctn,btt,24,No,46800
KZ- 1Ltrs Bugo Unsweetened Greek Yoghurt (6x),ctn,btt,12,No,46800
KZ- 350ml Bugo Strawberry Yoghurt (12x),ctn,btt,12,No,24000
KZ- 350ml Bugo Vanila Yoghurt (12x),ctn,btt,12,No,24000
KZ- 350ml Bugo Plain Yoghurt (12x),ctn,btt,12,No,24000
KZ- 500ml Bugo Plain Yoghurt (12x),ctn,btt,12,No,28800
KZ- 500ml Bugo Strawberry Yoghurt (12x),ctn,btt,12,No,28800
KZ- 500ml Bugo Sweetened Greek Yoghurt (12x),ctn,btt,12,No,46800
KZ- 500ml Bugo Unsweetened Greek Yoghurt (12x),ctn,btt,36,No,46800
KZ- 500ml Bugo Vanila Yoghurt (12x),ctn,btt,12,No,28800
MDL- 250ML Madala Hibiscus Cordial (24X),ctn,unt,24,No,60000
MDL- 500ML Madala Hibiscus Cordial (12X),ctn,unt,12,No,50000
OR- 350ml Orisirisi Wallnut Drink (12x),ctn,btt,6,No,21428.89
OR- 350ml Orisirisi Wallnut with Ginger Drink (12x),ctn,btt,6,No,21537.15
OR- 500ml Orisirisi Tiger Nut Drink (12x),ctn,btt,6,No,27600
OR- 500ml Orisirisi Zobo Drink (12x),ctn, btt,24,No,24000
OR- 500ml Orisirisi Zobo with Date Drink (12x),ctn,btt,6,No,24115.15
PS- 500g Grandios Brown Pap (20x),ctn,unt,12,No,31922.72
PS- 500g Grandios White Pap (20x),ctn,unt,24,No,31810.96
PS- 500g Grandios Yellow Pap (20x),ctn,unt,6,No,32000
PS- 50g Grandios Brown Pap (120x),ctn,unt,6,No,19800
PS- 50g Grandios White Pap (120x),ctn,unt,12,No,19800
PS- 50g Grandios Yellow Pap (120x),ctn,unt,12,No,19800
RT- 40g Respite Bitterleaf Tea Pouch Pack (10x),ctn,unt,10,No,30000
